price,bathrooms,sqft_living,floors,grade,sqft_above,sqft_basement,yr_built,zipcode,long,sqft_living15
292500.0,2.5,2250,2.0,7,2250,0,2008,98042,-122.11399999999999,2250
301000.0,2.5,2420,2.0,8,2420,0,2003,98042,-122.12200000000001,2690
951000.0,3.25,3250,2.0,8,3250,0,1968,98008,-122.116,2960
430000.0,3.0,1850,2.0,8,1850,0,1991,98059,-122.149,2270
650000.0,2.25,2150,1.0,8,1590,560,1959,98166,-122.339,2570
289000.0,1.75,1260,1.0,7,1260,0,1954,98148,-122.335,1290
505000.0,1.75,2519,2.0,8,2519,0,1973,98166,-122.344,2500
549000.0,1.75,1540,3.0,8,1540,0,2014,98115,-122.32,1580
425000.0,2.25,1660,1.0,7,1110,550,1979,98122,-122.29700000000001,1440
317625.0,2.75,2770,1.5,7,1770,1000,1925,98144,-122.304,1440
975000.0,2.5,2720,2.0,10,2720,0,1989,98004,-122.19200000000001,2750
287000.0,2.5,2240,2.0,7,2240,0,2005,98001,-122.257,2221
204000.0,1.0,1000,1.0,7,1000,0,1968,98042,-122.11,1010
1325000.0,2.25,3200,1.0,8,1600,1600,1965,98004,-122.215,3390
1040000.0,3.25,4770,1.0,11,3070,1700,1973,98005,-122.16,3530
325000.0,2.0,1260,1.0,7,1260,0,1972,98034,-122.179,1640
571000.0,2.0,2750,1.5,7,2250,500,1916,98125,-122.287,1510
360000.0,2.5,2380,2.0,8,2380,0,2005,98038,-122.036,2420
349000.0,1.75,1790,1.0,7,1090,700,1965,98042,-122.073,1940
832500.0,4.0,3430,2.0,10,2390,1040,1986,98075,-121.98700000000001,3240
380000.0,1.75,1760,1.0,7,880,880,1956,98008,-122.125,1680
480000.0,1.0,1040,1.0,7,1040,0,1941,98116,-122.39399999999999,890
410000.0,1.0,1410,1.0,7,910,500,1956,98133,-122.34,1130
720000.0,2.5,3450,2.0,10,3450,0,2002,98010,-122.025,3350
390000.0,2.5,2350,2.0,8,2350,0,2003,98038,-122.008,2350
360000.0,2.5,1900,2.0,7,1900,0,1992,98038,-122.031,1870
355000.0,1.0,2020,1.0,7,1010,1010,1948,98118,-122.291,1720
356000.0,1.5,1680,1.0,8,1680,0,1964,98059,-122.149,1850
315000.0,1.0,960,1.0,6,960,0,1952,98125,-122.31,1570
940000.0,1.5,2140,2.0,9,1900,240,1925,98119,-122.365,2020
305000.0,2.25,2660,1.5,7,2660,0,1961,98092,-122.189,1590
461000.0,3.25,2770,2.0,9,1980,790,2006,98056,-122.199,1900
215000.0,2.25,1610,2.0,7,1610,0,1979,98056,-122.194,1950
335000.0,1.75,1030,2.0,7,765,265,2006,98136,-122.387,1030
243500.0,2.5,1980,2.0,7,1980,0,1988,98023,-122.37200000000001,1980
1099880.0,2.75,3520,2.0,10,3520,0,2001,98199,-122.391,2520
153000.0,1.0,1200,1.0,7,1200,0,1962,98023,-122.351,1350
430000.0,1.5,1580,1.0,8,1290,290,1939,98117,-122.38600000000001,1570
700000.0,1.5,1580,1.0,8,1290,290,1939,98117,-122.38600000000001,1570
905000.0,2.5,3300,1.0,7,2390,910,1946,98040,-122.249,1950
247500.0,1.75,1960,1.0,7,1960,0,1967,98032,-122.277,1750
199000.0,1.5,1160,1.0,7,1160,0,1975,98023,-122.37799999999999,1160
314000.0,1.75,1810,1.0,7,1210,600,1980,98038,-121.958,1650
437500.0,2.5,2320,2.0,9,2320,0,1992,98045,-121.714,2550
850830.0,2.5,2070,1.5,9,1270,800,1910,98102,-122.315,2200
555000.0,2.0,1980,1.5,7,1440,540,1929,98117,-122.37200000000001,1610
699950.0,2.25,2190,2.0,8,2190,0,1983,98077,-122.08,2570
1088000.0,2.5,2920,2.0,8,2920,0,1950,98004,-122.196,2370
290000.0,1.0,1210,1.0,7,1210,0,1954,98058,-122.184,1640
375000.0,2.5,2340,1.0,8,1460,880,1978,98058,-122.133,2250
460000.0,1.0,1670,1.5,7,1170,500,1939,98117,-122.38,1240
188500.0,1.75,1240,1.0,8,1240,0,1985,98198,-122.322,1270
680000.0,2.5,3140,2.0,10,3140,0,1991,98077,-122.08200000000001,2990
470000.0,1.75,2030,2.0,7,2030,0,1942,98052,-122.109,2500
597750.0,2.5,2310,2.0,8,2310,0,1984,98027,-122.053,1940
570000.0,1.75,1260,1.0,6,700,560,1905,98103,-122.34899999999999,1380
272500.0,1.75,1540,1.0,7,1160,380,1980,98038,-122.031,1540
329950.0,1.75,2080,1.0,7,1080,1000,1971,98108,-122.295,2090
480000.0,2.5,3230,2.0,9,2520,710,2001,98001,-122.25299999999999,2640
740500.0,3.5,4380,2.0,8,2780,1600,1900,98117,-122.368,1830
518500.0,3.5,1590,3.0,8,1590,0,2010,98103,-122.34700000000001,1620
205425.0,1.0,880,1.0,6,880,0,1945,98178,-122.24799999999999,1190
171800.0,2.0,1570,1.0,6,1570,0,1950,98168,-122.303,1880
535000.0,1.0,1610,1.5,7,1610,0,1925,98144,-122.294,1610
660000.0,2.5,2400,1.0,8,1560,840,1964,98177,-122.38600000000001,2340
391500.0,2.0,1450,1.0,7,1450,0,1987,98034,-122.226,1580
395000.0,1.0,770,1.0,6,770,0,1953,98117,-122.36399999999999,1710
445000.0,1.75,2100,1.5,7,1720,380,1924,98118,-122.266,1850
770000.0,2.25,2910,2.0,9,2910,0,1990,98052,-122.098,2700
1450000.0,2.75,2750,1.5,8,1980,770,1914,98004,-122.212,3060
445000.0,2.25,2100,1.0,8,1620,480,1967,98178,-122.244,2660
260000.0,2.25,2160,1.0,8,1360,800,1978,98023,-122.39,2090
822500.0,3.5,2320,2.0,7,1720,600,1926,98103,-122.352,1700
430000.0,2.5,2070,2.0,7,2070,0,2004,98065,-121.85,1970
212000.0,1.75,1060,1.0,7,1060,0,1986,98092,-122.152,1420
660500.0,2.25,2010,1.0,8,1440,570,1986,98027,-122.054,2060
784000.0,3.5,3950,1.5,9,2460,1490,1989,98052,-122.072,2480
453246.0,2.5,2010,2.0,8,1390,620,2014,98029,-121.99799999999999,1690
675000.0,3.5,2140,3.0,9,2140,0,2005,98107,-122.38,1540
199000.0,1.75,1320,1.0,7,1320,0,1956,98003,-122.296,1550
220000.0,1.75,2020,1.0,7,1010,1010,1968,98003,-122.29899999999999,1750
452000.0,2.25,2590,1.0,8,1340,1250,1968,98028,-122.266,1550
382500.0,1.0,1190,1.0,6,1190,0,1981,98125,-122.287,1060
519950.0,2.25,1170,3.0,8,1170,0,2014,98107,-122.381,1350
665000.0,1.0,1110,1.0,7,1110,0,1925,98119,-122.35799999999999,1170
527700.0,2.5,2820,1.0,8,1550,1270,1968,98006,-122.12799999999999,2820
205000.0,1.0,1610,1.0,7,1010,600,1962,98058,-122.171,1610
420000.0,1.0,1060,1.0,7,940,120,1923,98133,-122.351,1560
500000.0,2.25,2030,1.0,8,1380,650,1961,98006,-122.17399999999999,2230
921500.0,2.5,3670,2.0,9,3670,0,1994,98077,-122.02600000000001,2840
890000.0,1.0,2550,2.0,8,2370,180,1905,98109,-122.353,2200
430000.0,2.5,2420,2.0,7,2420,0,2007,98027,-121.943,1940
258000.0,2.0,2260,1.0,8,1130,1130,1960,98032,-122.286,1360
511000.0,1.0,1430,1.0,7,980,450,1947,98103,-122.336,1450
532170.0,2.0,1360,2.0,8,1360,0,1990,98103,-122.353,1500
560000.0,1.0,1110,1.5,7,1110,0,1947,98107,-122.359,1420
282950.0,1.0,1250,1.0,7,1250,0,1954,98003,-122.304,1680
2250000.0,3.25,5180,2.0,12,3540,1640,2006,98006,-122.162,3160
350000.0,1.0,700,1.0,7,700,0,1942,98115,-122.3,1010
215000.0,1.0,1180,1.0,7,1180,0,1967,98058,-122.176,1190
650000.0,3.5,3960,2.0,9,2500,1460,1996,98056,-122.17200000000001,2640
320000.0,2.75,2640,1.0,8,1620,1020,1967,98023,-122.369,1980
247000.0,2.0,1270,1.5,7,1270,0,1916,98022,-121.99600000000001,1160
320000.0,1.75,1760,1.0,8,1760,0,1968,98059,-122.118,1730
255000.0,2.25,2060,1.0,7,1030,1030,1962,98146,-122.335,1010
438000.0,1.75,1780,1.0,7,1780,0,1962,98034,-122.193,1200
900000.0,2.5,3400,2.0,10,3400,0,2000,98075,-122.023,3400
441000.0,2.75,1910,1.0,7,1160,750,1979,98034,-122.22399999999999,1710
420000.0,2.0,2020,1.0,7,1010,1010,1975,98027,-122.023,2110
370000.0,1.75,1580,1.0,7,1180,400,1976,98034,-122.16799999999999,1640
269950.0,1.75,1340,1.0,5,700,640,1949,98198,-122.32700000000001,1830
807100.0,2.5,2680,2.0,9,2680,0,1999,98006,-122.125,2920
653000.0,2.5,2680,1.0,8,1610,1070,1979,98034,-122.23100000000001,2480
371500.0,2.0,1370,1.0,7,1370,0,1964,98133,-122.331,1770
284000.0,1.75,1560,1.0,7,1560,0,1954,98166,-122.337,1070
272000.0,1.75,2160,1.0,7,1670,490,1978,98023,-122.374,1930
313000.0,1.5,1340,1.5,7,1340,0,1955,98133,-122.339,1480
917500.0,2.5,3880,2.0,10,2570,1310,1984,98033,-122.182,3740
673000.0,2.25,2590,2.0,8,2590,0,1980,98006,-122.125,2260
425000.0,2.5,1120,2.0,8,820,300,2008,98122,-122.31,1590
399950.0,2.75,1970,1.0,7,1320,650,1986,98144,-122.30799999999999,1280
385000.0,1.0,1220,1.0,6,1220,0,1901,98122,-122.307,1200
269950.0,1.5,1950,1.0,7,1320,630,1975,98022,-121.999,1950
330000.0,1.0,1350,1.0,7,1060,290,1949,98177,-122.35799999999999,1540
260000.0,2.5,1670,2.0,7,1670,0,1988,98030,-122.179,1670
470000.0,3.0,2380,1.5,7,1680,700,1925,98126,-122.376,1410
589000.0,3.0,2440,2.0,7,2440,0,1961,98034,-122.2,2290
163500.0,1.5,1050,2.0,7,1050,0,1996,98038,-122.039,1050
835000.0,2.75,3130,2.0,9,2140,990,1993,98052,-122.102,2260
1095000.0,3.0,4090,1.0,10,2090,2000,1986,98033,-122.18799999999999,2540
269000.0,1.75,1490,1.0,8,1100,390,1969,98023,-122.37899999999999,2190
560000.0,2.5,1900,2.0,8,1900,0,1987,98074,-122.04299999999999,2030
615000.0,1.0,1330,1.5,6,1330,0,1901,98103,-122.34,1330
585188.0,2.25,2230,1.0,8,1430,800,1975,98052,-122.15299999999999,2230
305000.0,1.75,1650,1.0,7,1220,430,1977,98034,-122.191,1540
166950.0,1.0,1190,1.0,6,1190,0,1959,98058,-122.184,1230
799000.0,2.5,2140,1.0,8,2140,0,1959,98040,-122.219,2680
400000.0,2.5,2180,1.0,7,1420,760,1962,98133,-122.336,1900
230000.0,1.0,1060,1.0,7,1060,0,1948,98155,-122.3,1570
256883.0,2.5,1690,2.0,8,1690,0,2003,98023,-122.34700000000001,2550
423000.0,2.0,1970,1.5,7,1130,840,1920,98108,-122.31200000000001,1500
465000.0,2.5,2150,2.0,8,2150,0,2007,98126,-122.37200000000001,1750
440000.0,2.5,1910,2.0,7,1910,0,1997,98024,-121.911,2330
385000.0,1.75,1350,1.0,7,1350,0,1969,98038,-121.994,1560
210000.0,1.0,860,1.0,6,860,0,1943,98056,-122.184,1300
297000.0,2.5,1940,2.0,8,1940,0,1994,98042,-122.165,2030
470000.0,1.0,1010,1.0,7,1010,0,1952,98107,-122.39399999999999,1680
226500.0,1.5,1300,1.0,7,900,400,1976,98023,-122.37,1430
274250.0,1.0,910,1.0,6,910,0,1962,98059,-122.15799999999999,1400
840000.0,1.75,2480,1.0,9,1630,850,1966,98040,-122.219,2770
677900.0,2.5,2440,2.0,8,2440,0,2010,98052,-122.11399999999999,2750
425000.0,1.0,1010,1.0,7,1010,0,1915,98116,-122.381,1290
180250.0,0.75,900,1.0,6,900,0,1941,98166,-122.339,1250
464000.0,3.0,2300,2.0,7,1600,700,1920,98133,-122.34299999999999,1560
320000.0,2.25,1550,2.0,8,1550,0,1993,98038,-122.04700000000001,1630
625504.0,2.25,1270,2.0,8,1060,210,2014,98105,-122.28399999999999,1160
592500.0,2.5,2240,1.0,9,2240,0,1983,98074,-122.01700000000001,2520
465000.0,2.5,2714,2.0,9,2714,0,2005,98001,-122.275,2590
477000.0,2.75,1720,2.0,8,1720,0,1978,98118,-122.26799999999999,2130
280000.0,1.0,850,1.0,6,850,0,1923,98168,-122.29899999999999,1100
1505000.0,3.0,3300,1.0,9,1870,1430,1957,98040,-122.21,3836
445838.0,2.5,2250,2.0,8,2250,0,2000,98146,-122.37899999999999,1320
1072000.0,2.25,3900,1.0,8,1950,1950,1947,98144,-122.291,2580
467000.0,1.5,1320,1.0,8,1320,0,1947,98177,-122.367,2120
686000.0,2.5,2760,2.0,10,2760,0,1999,98075,-122.02600000000001,3070
279950.0,2.0,1750,1.0,7,1350,400,1961,98198,-122.29899999999999,1900
527000.0,2.25,2330,2.0,8,2330,0,1987,98011,-122.215,1910
325000.0,2.25,2220,1.0,8,1780,440,1966,98030,-122.21700000000001,2080
328000.0,2.25,2020,2.0,7,2020,0,1994,98038,-122.023,2020
390000.0,2.25,1250,1.0,7,1250,0,1942,98146,-122.37299999999999,1280
479950.0,2.0,1510,1.0,8,1510,0,2005,98053,-122.01299999999999,1640
264950.0,2.25,1720,1.0,7,1120,600,1978,98023,-122.37100000000001,1510
235000.0,1.0,1430,1.0,7,980,450,1961,98031,-122.214,1960
516500.0,2.5,1480,2.0,7,1480,0,2004,98053,-122.03399999999999,2250
655000.0,1.75,1450,2.0,7,1230,220,1915,98166,-122.375,2030
500000.0,2.75,2280,1.0,7,2280,0,1960,98059,-122.164,2280
315000.0,2.75,2940,1.0,8,1780,1160,1978,98023,-122.339,2120
213000.0,1.0,1000,1.0,6,1000,0,1961,98024,-121.899,1150
475000.0,1.5,2480,1.5,7,1620,860,1947,98108,-122.303,2090
1025000.0,4.0,3760,2.0,10,3760,0,1983,98033,-122.18299999999999,3430
416000.0,2.0,2220,1.0,7,1640,580,1976,98010,-121.95,2070
410000.0,1.0,1970,1.5,7,1670,300,1904,98122,-122.303,1510
800000.0,3.5,3830,2.0,10,3530,300,1993,98077,-122.023,2920
472000.0,2.5,4410,1.0,9,2350,2060,1965,98003,-122.324,2600
225000.0,1.75,1430,1.0,7,1430,0,1968,98003,-122.319,1190
210000.0,1.0,830,1.0,6,830,0,1940,98126,-122.376,830
455000.0,1.0,1430,1.5,7,1430,0,1925,98115,-122.29899999999999,1450
225000.0,1.0,1300,1.0,6,1300,0,1954,98002,-122.21600000000001,1260
480000.0,1.0,1030,1.0,7,790,240,1918,98103,-122.353,1390
363000.0,2.5,2740,2.0,9,2740,0,1990,98023,-122.395,2570
2400000.0,2.5,3650,1.0,9,1830,1820,2000,98074,-122.072,3120
181000.0,1.5,720,1.0,6,720,0,1954,98106,-122.35700000000001,1150
250000.0,2.0,2010,1.0,7,2010,0,1976,98002,-122.213,2010
481000.0,1.75,1560,1.0,6,770,790,1918,98103,-122.345,1390
260000.0,2.0,1810,1.0,7,1240,570,1978,98032,-122.27799999999999,1750
455000.0,2.5,3360,2.0,9,3360,0,2001,98058,-122.111,3060
415000.0,2.25,1510,2.0,8,1510,0,1991,98045,-121.711,1730
349500.0,1.0,1400,1.0,7,800,600,1953,98118,-122.27,1620
245000.0,2.5,1730,2.0,7,1730,0,1987,98030,-122.178,1630
592500.0,2.0,1420,1.5,7,1420,0,1928,98115,-122.32,1420
385000.0,1.75,2360,1.0,7,1180,1180,1955,98106,-122.345,1910
315000.0,1.75,1580,1.0,7,1200,380,1974,98059,-122.147,1550
255000.0,1.0,1230,1.0,7,1230,0,1979,98045,-121.772,1380
693000.0,2.5,2460,2.0,8,2460,0,2006,98052,-122.109,2990
780000.0,1.0,1660,1.5,8,1460,200,1911,98112,-122.302,1660
237000.0,1.75,1270,1.0,7,1270,0,1960,98198,-122.29,1600
525000.0,2.25,2100,2.0,10,1320,780,1979,98074,-122.04700000000001,2380
425000.0,1.0,770,1.0,5,770,0,1930,98144,-122.29899999999999,1330
369900.0,0.75,760,1.0,5,760,0,1936,98070,-122.43799999999999,1230
290000.0,2.5,1700,2.0,7,1700,0,1988,98031,-122.171,1950
285000.0,1.0,1120,1.0,7,1120,0,1954,98106,-122.35799999999999,1130
415000.0,1.0,1070,1.0,7,1070,0,1937,98115,-122.29,1320
272500.0,2.5,2070,1.0,8,1420,650,1979,98023,-122.37100000000001,2070
2900000.0,3.25,5050,1.5,11,4750,300,1982,98004,-122.223,3890
1365000.0,4.75,5310,2.0,11,5310,0,1989,98077,-122.042,4180
436000.0,1.0,1040,1.0,7,1040,0,1939,98133,-122.352,1440
210000.0,1.0,1700,1.0,7,1700,0,1967,98003,-122.323,1350
236000.0,1.0,1300,1.0,7,1300,0,1961,98178,-122.255,1320
331000.0,1.75,1080,1.0,7,580,500,1954,98199,-122.4,1440
365000.0,2.5,2653,2.0,8,2653,0,2006,98031,-122.166,2653
450000.0,2.0,2290,1.0,8,2290,0,1960,98058,-122.165,1660
770000.0,2.75,3820,2.0,9,2850,970,2014,98028,-122.26100000000001,1860
455000.0,2.5,2210,1.0,8,2210,0,1997,98038,-122.071,2670
405000.0,1.75,2390,1.0,6,1240,1150,1908,98118,-122.26799999999999,2020
304900.0,1.75,2600,1.0,7,1610,990,1969,98031,-122.206,1720
170000.0,1.0,860,1.0,6,860,0,1931,98178,-122.272,1650
2050000.0,3.0,3830,2.0,9,2630,1200,1905,98122,-122.287,3050
780000.0,2.5,3500,2.0,9,3500,0,2005,98053,-122.025,3920
330000.0,3.0,2420,1.0,8,1740,680,1988,98028,-122.23,2570
370000.0,2.5,2720,2.0,9,2720,0,1992,98030,-122.169,2410
467000.0,2.25,2500,1.0,7,1850,650,1979,98072,-122.14399999999999,2300
405000.0,1.75,1670,1.0,7,1140,530,1980,98034,-122.193,1670
675000.0,2.25,2900,1.0,8,1450,1450,1985,98006,-122.15100000000001,2310
500000.0,1.0,1640,1.0,7,1140,500,1954,98006,-122.14299999999999,1520
389999.0,2.5,1890,2.0,7,1890,0,1968,98166,-122.34299999999999,2410
630000.0,1.75,2950,1.0,8,1780,1170,1975,98034,-122.223,2120
360000.0,2.5,2160,2.0,9,2160,0,1992,98001,-122.255,2280
580000.0,3.0,3280,2.0,8,2270,1010,1986,98056,-122.181,2320
550000.0,2.0,1970,2.0,8,1270,700,1929,98126,-122.375,2390
879000.0,2.5,3360,2.0,10,3360,0,1994,98075,-122.01700000000001,3150
265000.0,2.0,1320,1.0,7,1320,0,1993,98042,-122.14399999999999,1740
446500.0,2.5,2650,2.0,8,2650,0,1990,98059,-122.154,2400
404000.0,1.5,2030,1.0,7,1330,700,1963,98108,-122.311,2140
267500.0,1.75,1590,1.0,7,1090,500,1957,98188,-122.274,1630
3075000.0,5.0,4550,1.0,10,2600,1950,2002,98074,-122.07700000000001,4550
335000.0,2.5,2440,2.0,8,2440,0,1998,98003,-122.301,2510
576000.0,2.5,1940,1.0,7,970,970,1948,98117,-122.39299999999999,2190
208633.0,2.5,2040,2.0,8,2040,0,2006,98038,-122.0,2370
315000.0,2.25,2200,1.0,7,1120,1080,1964,98166,-122.337,1460
725000.0,1.75,1920,1.0,8,960,960,1913,98112,-122.29799999999999,1740
550000.0,2.75,1800,1.0,8,1400,400,1965,98177,-122.384,1800
610750.0,2.25,2180,2.0,8,2180,0,1984,98074,-122.05799999999999,2250
550700.0,1.0,1010,1.5,6,1010,0,1908,98105,-122.29700000000001,1460
665000.0,2.75,3320,2.0,8,2220,1100,1960,98056,-122.18,2720
834000.0,2.5,2370,1.5,8,1980,390,1928,98144,-122.294,2440
201000.0,1.75,1660,1.5,6,1660,0,1915,98065,-121.837,1660
2384000.0,2.5,3650,2.0,10,3370,280,1921,98119,-122.367,2880
1384000.0,3.25,4290,1.0,11,2690,1600,1997,98006,-122.102,3860
1400000.0,3.25,4290,1.0,11,2690,1600,1997,98006,-122.102,3860
305000.0,2.25,1950,1.0,8,1350,600,1979,98058,-122.125,2150
487000.0,2.0,2590,1.0,8,1720,870,1948,98133,-122.333,1570
390000.0,2.5,1930,1.0,8,1930,0,1988,98042,-122.15700000000001,2350
548000.0,1.0,1470,1.0,7,1170,300,1916,98103,-122.345,1570
268750.0,1.0,800,1.0,6,800,0,1943,98166,-122.336,1310
819900.0,2.75,3150,2.0,9,3150,0,2013,98052,-122.15100000000001,1560
520000.0,2.25,2030,2.0,8,2030,0,1984,98027,-122.057,2660
230000.0,2.0,1450,1.0,7,1450,0,2003,98001,-122.25200000000001,1520
240000.0,1.75,1510,1.0,7,1510,0,1969,98023,-122.37100000000001,1510
232000.0,1.0,1240,1.0,6,960,280,1922,98146,-122.352,1820
240500.0,1.0,1240,1.0,6,960,280,1922,98146,-122.352,1820
274975.0,2.5,3030,2.0,9,3030,0,1987,98077,-122.09299999999999,3080
740000.0,2.0,2050,1.5,9,2050,0,1922,98102,-122.319,2320
186375.0,1.0,1000,1.0,7,1000,0,1952,98166,-122.344,1150
790000.0,2.25,2370,1.0,9,1590,780,1977,98005,-122.166,2500
880000.0,3.5,2800,2.0,9,1890,910,1951,98105,-122.275,2370
279000.0,1.75,2240,2.0,7,2240,0,1955,98198,-122.323,1590
295000.0,2.0,1810,1.0,8,1810,0,1991,98022,-122.012,1910
640000.0,1.0,1070,1.0,7,1070,0,1924,98103,-122.331,1710
940000.0,2.0,2490,2.0,9,2490,0,1968,98040,-122.21700000000001,2770
260000.0,2.5,1960,2.0,7,1960,0,2003,98038,-122.052,1800
559900.0,2.75,2930,1.0,9,1860,1070,2004,98072,-122.164,2580
791500.0,2.0,1510,1.5,7,1510,0,1911,98103,-122.35700000000001,1820
265000.0,1.75,1420,1.0,7,1420,0,1954,98133,-122.354,1740
245000.0,1.75,1740,1.0,7,1740,0,1954,98178,-122.22,880
485000.0,1.75,2560,2.0,7,2560,0,1962,98052,-122.09299999999999,2560
684000.0,3.5,3040,2.0,9,2420,620,2010,98059,-122.15700000000001,3470
425000.0,1.75,2500,1.0,8,1300,1200,1957,98125,-122.32,1580
309600.0,1.75,1275,1.0,6,1275,0,1991,98070,-122.49,1660
552250.0,2.5,2580,2.0,8,2580,0,2002,98065,-121.875,2380
165000.0,1.0,1000,1.0,6,1000,0,1943,98178,-122.24,1020
239900.0,1.0,1000,1.0,6,1000,0,1943,98178,-122.24,1020
320000.0,1.0,1070,1.0,6,1070,0,1930,98059,-122.07799999999999,1360
206600.0,2.0,1390,1.0,7,1390,0,1987,98030,-122.17299999999999,1720
387000.0,1.75,2500,1.0,7,1250,1250,1973,98155,-122.307,2040
299000.0,0.75,560,1.0,4,560,0,1967,98014,-121.854,1300
855000.0,2.75,2270,2.0,9,2270,0,1965,98040,-122.22200000000001,2610
315000.0,1.0,1900,1.0,7,1300,600,1954,98166,-122.337,1940
437500.0,1.0,990,1.0,7,790,200,1907,98103,-122.353,1930
252000.0,1.5,1550,1.0,7,1050,500,1969,98001,-122.27,1640
375000.0,1.75,2200,1.0,7,1100,1100,1955,98118,-122.28,1600
300000.0,2.5,1910,2.0,7,1910,0,2005,98038,-122.03399999999999,2010
420000.0,1.0,1750,1.5,7,1750,0,1954,98006,-122.137,1750
900000.0,1.0,1330,1.0,7,1330,0,1928,98033,-122.15899999999999,1340
679900.0,2.5,2440,2.0,9,1980,460,2000,98116,-122.381,1520
463000.0,2.5,1640,2.0,7,1640,0,1992,98053,-121.97399999999999,1580
380000.0,2.5,2760,2.0,9,2760,0,1978,98059,-122.141,2470
329500.0,2.5,1820,2.0,7,1820,0,1994,98038,-122.029,1820
